company_id,factset_entity_id
3624,0C3HYM-E
3643,0807DK-E
3672,0C017W-E
3681,06P1FX-E
3682,080RX8-E
3692,000D7G-E
3699,07PNGC-E
3701,073H8G-E
3702,06BDJT-E
3707,07PM2G-E
3715,0MGXKY-E
3718,0653B9-E
3724,0MHNZ5-E
3741,05L57B-E
3768,064577-E
3793,00B3F4-E
3807,07P56L-E
3823,07Y4L6-E
3848,06HC2R-E
3858,06HCS1-E
3892,07Y5DN-E
3902,08873H-E
3903,05NZW6-E
3914,064V34-E
3922,080VG0-E
3924,0GXVVD-E
3928,0MMMLS-E
3933,0MLVWD-E
3936,0MP66Q-E
3947,0M9M3Z-E
3952,07QH9Q-E
3974,07PKH2-E
3996,07FM6K-E
4002,0M72D8-E
4010,0GWJ3R-E
4014,07PCMD-E
4022,08HZ1Z-E
4023,0M5TMJ-E
4025,06442V-E
4033,0MMND3-E
4045,080K9S-E
4048,07QXVN-E
4060,0MP9TX-E
4061,0M6VCQ-E
4065,0D90DL-E
4068,0M5Z1K-E
4074,0643Y1-E
4076,0809LG-E
4083,0MJJS3-E
4086,081VBL-E
4102,0CFGYM-E
4104,0809Z5-E
4106,07XS5P-E
4107,080N79-E
4108,089L7M-E
4112,06583J-E
4118,080KR1-E
4132,06Q96J-E
4135,0MF87Y-E
4136,0M6PB9-E
4140,0M639X-E
4151,073Y2K-E
4162,07PG21-E
4170,0084K2-E
4194,07VP1C-E
4198,06VMSR-E
4205,0652T8-E
4215,0D7DTN-E
4222,0636C4-E
4235,07WWTT-E
4238,0MDXZR-E
4240,064SRL-E
4241,0MP67H-E
4245,07QZHN-E
4246,0M9H23-E
4249,080B29-E
4256,0MBC1N-E
4269,07MJBG-E
4280,07PJ6Z-E
4287,0GXVVD-E
4307,0M5S2Y-E
4315,0659RT-E
4321,0B0W8V-E
4334,0MH5HY-E
4339,0MD4N2-E
4341,073J4G-E
4357,063VSP-E
4372,0650WM-E
4382,07P8SP-E
4391,05LY9F-E
4392,07JH2Z-E
4399,0C74HZ-E
4419,05FYVH-E
4421,05Z81P-E
4424,07YX4J-E
4428,080KR1-E
4433,07YY64-E
4434,06JSLD-E
4435,07PQM3-E
4440,064RSD-E
4451,07P28F-E
4456,06SF09-E
4458,0625WY-E
4464,06M63B-E
4469,0C2KW7-E
4477,069RQH-E
4482,0MH5G4-E
4485,06GQR8-E
4513,05HNPV-E
4518,07RGGN-E
4523,07QVK1-E
4525,06BHLZ-E
4539,07PFGH-E
4540,07ZD70-E
4553,0641PY-E
4558,07PF56-E
4571,084KZ3-E
4582,06JSSP-E
4604,0ML5GK-E
4606,0MC9FX-E
4609,0CNJL5-E
4624,003RD0-E
4625,0614D1-E
4636,07Z03R-E
4649,0DC1QG-E
4651,07P90Y-E
4657,07W3CL-E
4659,0DJP9S-E
4662,061LQN-E
4670,0CVR9F-E
4694,00C99D-E
4722,07QVWD-E
4729,003BG0-E
4744,07C7Q0-E
4746,07X2B4-E
4767,0G5K4D-E
4771,07P72L-E
4773,06XR49-E
4779,07QQ7Q-E
4783,07YT5F-E
4811,07R6ZN-E
4821,0802JJ-E
4827,061709-E
4829,05LN6Y-E
4835,06KJ6Z-E
4838,0651N6-E
4842,06HYL6-E
4849,05MR36-E
4862,08D846-E
4865,063VMJ-E
4878,072NVG-E
4896,0620JR-E
4914,07QQB0-E
4918,07Z7BR-E
4932,07HMSX-E
4936,064T0Z-E
4937,0643LR-E
4958,07G8ZV-E
4959,005VSR-E
4961,06NP6K-E
4965,063TCG-E
4971,064V8L-E
4983,080DFM-E
5010,000KX5-E
5011,0DGK1M-E
5015,05KZM7-E
5031,0G2V1M-E
5040,07PK8Z-E
5054,0648Z4-E
5060,072SK4-E
5079,06S9GH-E
5083,0CJMK7-E
5111,0027ZZ-E
5115,064DV6-E
5127,07WWSZ-E
5129,06PL3D-E
5130,07P73K-E
5154,0B8KLG-E
5160,07P9D1-E
5168,064270-E
5181,0609TW-E
5183,064B5P-E
5192,0FKM55-E
5202,0LJKP4-E
5228,089BVJ-E
5246,07WX8C-E
5251,07QL9G-E
5265,07PM6X-E
5272,0MHJ0P-E
5278,06519S-E
5289,0MH0RK-E
5295,064YZZ-E
5313,09RWT2-E
5321,07P95Z-E
5323,065N0L-E
5336,0646SS-E
5372,063VYN-E
5383,000CP2-E
5384,000D19-E
5400,064TNP-E
5432,0619QS-E
5479,05MQY8-E
5480,07XQ6J-E
5503,0MDB14-E
5521,0764K3-E
5558,07TNXL-E
5561,0MGTV9-E
5574,06WXJ9-E
5576,07SPXN-E
5583,0MP623-E
5597,05L9JD-E
5604,07Z1X8-E
5610,07P43T-E
5629,06N6V7-E
5642,0MG8Z3-E
5649,0CKCKB-E
5650,07Q7PJ-E
5660,061GJC-E
5671,0M70FM-E
5675,0MFH9T-E
5689,07LKF9-E
5696,003027-E
5701,0C6GC4-E
5708,07PCWK-E
5710,0MHY8F-E
5727,072NR2-E
5731,07R1JD-E
5751,06NPZX-E
5759,0MFX8D-E
5761,07XM5Q-E
5775,0MHM17-E
5787,0M9CC3-E
5792,0MBBX2-E
5795,08863D-E
5803,0710D0-E
5804,06F173-E
5808,06J8T0-E
5811,0MC4DK-E
5822,09GN1R-E
5823,07QT4G-E
5840,064MT9-E
5844,07ZHC4-E
5853,0019GB-E
5858,0MKSCW-E
5863,0C6J7J-E
5883,07QGDW-E
5889,07Y46V-E
5896,0MHMGF-E
5898,0C7DBD-E
5901,07G8RF-E
5902,07X86D-E
5905,063ZQ2-E
5908,0MHL52-E
5911,000KYW-E
5922,0MCJDH-E
5929,07PMMC-E
5937,0MG5NZ-E
5940,07XH9K-E
5942,0BWSRC-E
5943,0CFPHB-E
5953,07VJ4C-E
5957,077851-E
5960,07QYK4-E
5971,0C5ZSK-E
5988,0MKZ51-E
5994,077M52-E
5995,089BMV-E
5999,0MHKF0-E
6000,0MHK4M-E
6002,0MFDPS-E
6019,0M5YZL-E
6022,05M260-E
6023,0MN2B2-E
6032,07PNZ5-E
6033,0MBP8T-E
6034,0KPK77-E
6039,07SLKJ-E
6042,06NM8Y-E
6043,0ML6C0-E
6044,0LSQJN-E
6054,0MB2WT-E
6067,0M6VB7-E
6068,07Z6B1-E
6071,0MH23R-E
6073,0646QX-E
6075,0MP6Q6-E
6077,05NBM1-E
6083,0M9C5K-E
6091,080L0N-E
6092,07Z9B1-E
6108,07XB31-E
6110,0M5HPF-E
6114,07VSHM-E
6119,0652JC-E
6126,0KTX61-E
6129,0M72JS-E
6131,0MG96N-E
6139,0M5HPJ-E
6141,0MCRN8-E
6143,0MHK0D-E
6148,0MCJJG-E
6154,0MHPNW-E
6167,07WC9T-E
6177,0M9J9Z-E
6183,0M9NM6-E
6188,0MHNQR-E
6193,07QNWK-E
6194,0M5TR2-E
6195,0702YF-E
6198,05VGMK-E
6216,0MGK6C-E
6218,0J96CR-E
6222,0C8MSM-E
6226,0MF08X-E
6231,0MBDDM-E
6233,07P2X2-E
6234,00CW7Y-E
6235,07XKWL-E
6237,0M77CC-E
6242,0MB37G-E
6248,0850HV-E
6253,0MH57C-E
6257,0D3W19-E
6258,0MHLY0-E
6265,0MHLX7-E
6267,07T45T-E
6268,0M72DH-E
6275,0M5W77-E
6279,0M98J7-E
6285,0MG97L-E
6291,0MF8RB-E
6292,0K82KW-E
6301,0MHJ00-E
6309,0MJJB2-E
6312,0M9J7V-E
6318,07X4NT-E
6319,06QZ60-E
6321,0MHKDN-E
6341,0MLR8P-E
6347,0MM160-E
6350,0M5Z34-E
6357,0MH0RS-E
6366,07QL64-E
6372,0MM7Q2-E
6374,0MHL6L-E
6376,07PYXP-E
6380,0MGP4N-E
6388,0MHJ1G-E
6390,0MKSGF-E
6391,0MFS06-E
6409,0MGGR3-E
6411,0LKJ1W-E
6413,05Z4ZW-E
6415,0M72HJ-E
6428,07RL6S-E
6444,0MGV5W-E
6449,0MGL2M-E
6451,0MH9HM-E
6453,0MGFVL-E
6454,0MHF26-E
6457,080BM4-E
6472,06T9P5-E
6483,0MHLY9-E
6488,0MFXNP-E
6493,07V5XF-E
6496,0MHK10-E
6498,07PXTD-E
6501,0MFX9F-E
6506,0MLFL8-E
6507,0MBC6L-E
6515,0MH5KQ-E
6518,0MHP14-E
6519,0MM5LS-E
6524,0M9GH0-E
6535,0MP9B6-E
6540,0M6DG2-E
6543,07XZ6H-E
6555,0BDXWB-E
6560,0M9LTJ-E
6576,07P8YZ-E
6577,0MMFRP-E
6581,0LR4G4-E
6589,0MG684-E
6597,0M9GW5-E
6603,07Z27S-E
6607,0MG8V4-E
6611,09PRKV-E
6623,07VVLF-E
6625,06189X-E
6630,0MG25M-E
6632,0MB7MY-E
6633,0MM00B-E
6641,0MDQLL-E
6681,05WFKK-E
6696,080CVB-E
6706,07X6C5-E
6711,07PBQL-E
6718,0MF1S7-E
6721,0611KD-E
6725,0652H7-E
6727,06HK1Z-E
6729,09RZGS-E
6741,064HR8-E
6765,07XYBS-E
6773,0C722F-E
6787,077YC5-E
6789,080NF4-E
6818,061MBY-E
6826,0MCJL0-E
6833,07P8DW-E
6837,09RVMT-E
6845,074YMD-E
6848,0CNTT4-E
6854,065B0J-E
6857,05MMMZ-E
6870,0MKSP0-E
6878,06GY8H-E
6934,0MHMPT-E
6935,05VC44-E
6938,0MGG83-E
6941,062DQY-E
6945,0MHKL8-E
6962,08BQ7H-E
6984,05JC2J-E
6991,0M6SYY-E
7015,0BP92Z-E
7031,0MBBB6-E
7040,0K7PPX-E
7044,07QHCK-E
7049,07RJDH-E
7070,089BVJ-E
7112,064ML3-E
7129,0C6T22-E
7144,09H09S-E
7148,07Q18Y-E
7149,0MHKG7-E
7150,06VV7N-E
7152,0012Q9-E
7167,0M6VG4-E
7170,0MHN5W-E
7173,06X57S-E
7178,0MHP5K-E
7180,0MNDF2-E
7182,05J1H4-E
7187,0G8MCJ-E
7194,0M6105-E
7204,0M73D0-E
7206,0K0N78-E
7209,0MHNCX-E
7211,0JTM0Y-E
7212,0MH72N-E
7214,0MCJLM-E
7216,0M77H4-E
7221,09HPRW-E
7229,0M5WSJ-E
7239,07QG8C-E
7241,0M93YW-E
7245,05LC3F-E
7248,0MF31N-E
7258,0MHP8K-E
7277,07VHJ7-E
7292,071F1N-E
7293,07X28L-E
7296,067HW7-E
7301,09Q7GW-E
7317,07X361-E
7329,07PGJC-E
7333,0K66GF-E
7363,0MH40C-E
7366,007QS5-E
7367,0MHCJ8-E
7368,0MB7V4-E
7370,07XRY8-E
7373,0MGP61-E
7386,0CCW7Z-E
7401,072HSS-E
7415,087HBL-E
7418,07L5NW-E
7422,0M5TMM-E
7453,07NMSL-E
7464,0CY2DH-E
7480,0MCJGZ-E
7491,0MHLWV-E
7497,00BL9Y-E
7503,0B292K-E
7511,0024K5-E
7515,00165Q-E
7520,05Z2ZD-E
7528,0MKZ1V-E
7538,0M9NQY-E
7540,008D68-E
7555,0MF32M-E
7592,0M0R5B-E
7608,06PL03-E
7609,0654GV-E
7618,068V9P-E
7622,0MLF33-E
7636,0M6V8Z-E
7646,061HRM-E
7651,0MH80J-E
7653,0MGTTY-E
7662,0M5Y82-E
7668,0D7V65-E
7672,0MH0ST-E
7710,0MHHWD-E
7711,0MHKM2-E
7716,07RL1L-E
7743,09RL0V-E
7745,06JHSY-E
7747,0BCGDP-E
