company_id,factset_entity_id
3548,0721SG-E
3563,003G3Z-E
3569,05KVNB-E
3570,072DFT-E
3575,07PR9W-E
3593,060YWS-E
3602,0643QC-E
3606,0CJHWD-E
3608,0HQBX8-E
3613,064006-E
3614,064BRJ-E
3630,07PVMF-E
3634,06165C-E
3635,000NCF-E
3660,0F95SB-E
3675,07ZNK0-E
3678,087TDQ-E
3704,07PPCH-E
3730,0M7Q8Q-E
3752,06251H-E
3791,0D76W9-E
3796,07GNDZ-E
3813,09PZQT-E
3847,07XHJ7-E
3869,06170D-E
3871,063VTY-E
3877,061NT8-E
3895,0646CX-E
3900,06L3TP-E
3904,0BVCLV-E
3906,075HGF-E
3912,064MHN-E
3930,06T981-E
3932,07R9GB-E
3938,064CC9-E
3940,0C7X6P-E
3982,063YLW-E
3985,067J1W-E
3990,05L44R-E
3995,0CL051-E
3998,063WJP-E
4004,06NC9N-E
4006,07YKN5-E
4012,05KWHV-E
4020,077FBY-E
4044,0789JP-E
4062,06WJB0-E
4082,07Y303-E
4091,080LSH-E
4099,0CV6Q9-E
4120,0C8J31-E
4131,064RF0-E
4138,063ZJP-E
4142,0CBKB3-E
4161,07PM2G-E
4163,063Z7G-E
4164,0652JC-E
4177,065KYS-E
4185,05KWD7-E
4195,06456S-E
4197,05PG7H-E
4207,09T7G4-E
4217,07X38S-E
4220,07Q1W8-E
4234,07Y2M5-E
4237,0CW6C6-E
4254,0BZP69-E
4257,07PQZ7-E
4268,05W4H1-E
4276,0024N1-E
4289,0B1CS5-E
4294,06J5WN-E
4296,063XTF-E
4301,0FZDNY-E
4314,0FZPD2-E
4331,05NDFM-E
4388,06NQY6-E
4390,080R89-E
4393,0M7KRM-E
4395,07X0X6-E
4408,05V1FB-E
4429,0650Z2-E
4444,05G05X-E
4447,06134F-E
4448,07BY4X-E
4489,07QKZN-E
4493,0899TV-E
4507,07QJ2M-E
4545,06G509-E
4551,07QNSY-E
4641,07PRNW-E
4646,07QZBL-E
4650,06L5NX-E
4653,0659LL-E
4667,06N7YS-E
4682,07ZWRN-E
4702,084MXX-E
4710,05PBYK-E
4712,0083Y5-E
4713,07XQRF-E
4721,07R9MS-E
4768,07PD0D-E
4769,07QR8M-E
4781,07ZH2Z-E
4785,07XBFB-E
4790,07TQ55-E
4832,07Y8V8-E
4840,06Y5D2-E
4850,06L443-E
4852,-9999
4858,072GQC-E
4898,07Z27R-E
4912,064BX9-E
4927,001H24-E
4938,0659SC-E
4944,064DX6-E
4956,06RV1N-E
5063,06XFNP-E
5076,063T3B-E
5081,000TJZ-E
5082,0BRLNB-E
5102,0B7D51-E
5107,05VFSR-E
5113,000BL4-E
5123,07ZXLL-E
5139,05NTFD-E
5147,07RV3G-E
5166,-9999
5190,07PN9J-E
5216,06RKWL-E
5220,07ZSB8-E
5229,0M5644-E
5231,064M78-E
5258,07XL93-E
5269,07249F-E
5279,07CHM9-E
5302,07QFF0-E
5303,064KZJ-E
5320,0G35HR-E
5339,06560L-E
5347,05FWFX-E
5361,07XPKY-E
5369,003YGB-E
5387,075ZD1-E
5416,001MSH-E
5422,006B2K-E
5428,06SZT8-E
5506,06P7N7-E
5508,072M6S-E
5516,06Y04F-E
5523,05M7Y2-E
5526,05LP6P-E
5527,07YN9B-E
5528,07T66Q-E
5537,07YLX8-E
5570,06SPRS-E
5575,071G5C-E
5617,07NRG7-E
5626,083CSR-E
5634,07Y97R-E
5637,0C5GZD-E
5668,0C1XBP-E
5678,09S4PZ-E
5702,06S3RR-E
5716,0824SR-E
5717,05NCCW-E
5719,003M5W-E
5747,07X350-E
5749,05SBBZ-E
5756,064HXF-E
5762,07YJ7R-E
5793,072GHK-E
5799,06VZWK-E
5802,07XWKD-E
5807,0GQRBR-E
5810,082B55-E
5820,05M7C5-E
5834,05ZFBT-E
5851,07PR8Y-E
5871,07ZXQW-E
5882,08034R-E
5910,087JD0-E
5949,064LFF-E
5954,06Q4H1-E
5956,0BJY40-E
5967,0CFWN4-E
5970,07Z76S-E
5978,0C5KHV-E
5979,0GN2M9-E
6008,0802MB-E
6029,0DR9XC-E
6066,082WGG-E
6070,0656N4-E
6099,0M84T9-E
6103,07YC1H-E
6111,07V24S-E
6125,09K8R3-E
6164,0M7PZ3-E
6166,0M7ZD9-E
6169,0M7T5Y-E
6199,07VBXH-E
6213,0DCY3K-E
6215,07ZJ5Q-E
6225,0M7JXB-E
6239,05R7Z3-E
6296,0M7DSF-E
6304,06X0P0-E
6306,07QSNW-E
6331,0M7Z53-E
6351,064HZY-E
6355,07ZK73-E
6383,06ZQVL-E
6385,05QMTW-E
6425,07Y4W8-E
6433,07X71W-E
6446,07XZZQ-E
6455,07PGCJ-E
6471,05MY41-E
6481,06Z419-E
6539,0M7Z9G-E
6583,083BXN-E
6606,00BJZT-E
6656,064LZ2-E
6668,0615W0-E
6670,074706-E
6675,0M7NV2-E
6682,07P5XY-E
6692,09WM36-E
6720,07XYSQ-E
6735,06KJ6V-E
6737,0B53CC-E
6752,0GT7TX-E
6760,05M1FC-E
6763,07R2JD-E
6778,0C5GX3-E
6785,0C4365-E
6797,07PP0N-E
6799,063YG2-E
6801,07Z1KT-E
6803,0CZ939-E
6820,0740GQ-E
6834,078YN3-E
6840,05NQKP-E
6843,07WGB0-E
6849,0611TZ-E
6855,064RF2-E
6863,064VXN-E
6867,064QS9-E
6868,060VZR-E
